ResourceID,title,description,filepath,format,unit,preview
1f791dd1-4a89-4ab7-89f0-9f77b57c7fcf,Paiute Rocks - Panel 1,"This large complex solid and stipple pecked panel faces south and is affected by exposure, lichen growth and surface spalling. Principal motifs include: rakes; arcs; a bisected circle; a spiral; a tailed circle; open circles; an atlatl design; a stick figure anthropomorph; rectilinear and curvilinear meanders; a triangle; and a plant-like design (a vertical line with connected horizontal lines). Some motifs once clearly extended into an area of the boulder that has now spalled away.",Paiute-Rocks_Panel-1.ply,PLY,Centimeter,Paiute-Rocks_Panel-1_Preview-Image.jpg
4bdd0bef-1e40-47ea-b838-f8b8f0e5202e,Paiute Rocks - Panel 12,"This large, complex scratched and solid pecked panel faces north and is affected by surface spalling and graffitti. Superimpositioning is evident in many of the motifs. The graffiti takes the form of the scratched letters 'MOLLY / ADAM / I H 4.' Spalling has destroyed part of the panel. The principal motifs include: tailed circles; curvilinear meanders; arcs; a chain of circles; and a boat-shaped bighorn sheep figure.",Paiute-Rocks_Panel-12.ply,PLY,Centimeter,Paiute-Rocks_Panel-12_Preview-Image.jpg
f0045e9e-74ea-444b-b2d4-634e5d5e40ca,Paiute Rocks - Panel 13,This extensive solid pecked panel faces northeast and is affected by exposure and lichen growth. Some figure modification is discernible on this panel. Motifs include: three rakes; arcs; a tailed circle; five bighorn sheep figures (one partially obscured by lichen); a dumbbell; an asterisk-like design; dots; zigzags; wavy lines; connected open circles; and curvilinear meanders.,Paiute-Rocks_Panel-13.ply,PLY,Centimeter,Paiute-Rocks_Panel-13_Preview-Image.jpg
7fad3aeb-96ec-4122-bd4a-9d1c7e46f809,Paiute Rocks - Panel 18 Left of,This solid and stipple pecked panel faces east and is affected by exposure and surface spalling. Its motifs comprise a stick figure anthropomorph which has lost its left leg from surface spalling, and a line with two open circles.,Paiute-Rocks_Panel-18-Left-of.ply,PLY,Centimeter,Paiute-Rocks_Panel-18-Left-of_Preview-Image.jpg
33c8e397-b7a5-47e2-ba4c-7b4e2ba108a2,Paiute Rocks - Panel 18,This solid and stipple pecked panel faces east and is affected by exposure and surface spalling. Its motifs comprise a stick figure anthropomorph which has lost its left leg from surface spalling, and a line with two open circles.,Paiute-Rocks_Panel-18.ply,PLY,Centimeter,Paiute-Rocks_Panel-18_Preview-Image.jpg
e500779b-8336-47e6-bcd5-e4fdb28f054c,Paiute Rocks - Panel 19,"This large solid pecked panel faces east and is affected by exposure and lichen growth. This panel has superimpositioning evident. Its principal motifs include a long wavy line, a row of open circles, rectilinear meanders, a cross pommee, and a rectilinear meander that incorporates three open circles. spalling and vegetation abutment. Its motifs are all rectilinear—a couple of lines, a cross-like figure and an indeterminate design obscured by the effects of surface spalling.,Paiute-Rocks_Panel-19.ply",PLY,Centimeter,Paiute-Rocks_Panel-19_Preview-Image.jpg
f5a79b70-7265-4ec4-a9e5-2244b42032be,Paiute Rocks - Panel 22,This solid pecked panel faces northwest and is affected by exposure. Its only motif is an arc.,Paiute-Rocks_Panel-22.ply,PLY,Centimeter,Paiute-Rocks_Panel-22_Preview-Image.jpg
08eaa428-fd5e-474a-acf7-69c5d928d173,Paiute Rocks - Panel 23,23A This solid and stipple pecked panel faces northwest and is affected by exposure and graffiti (the scratched initials 'I M'). Its motifs include: dots; random pecking; a line; and a finely executed deer/elk figure.<br>23B This abraded, scratched and stippled pecked panel faces northwest and is affected by exposure. This panel is graffiti and is an asterisk joined to an 'E' shape.,Paiute-Rocks_Panel-23.ply,PLY,Centimeter,Paiute-Rocks_Panel-23_Preview-Image.jpg
bd89489e-2dbc-4667-a64d-a8bb5ea1f034,Paiute Rocks - Panel 27,This stipple pecked panel faces north and incorporates a natural feature. Motifs include three bighorn sheep or deer/elk. This panel is affected by exposure and lichen growth. Some figure modification is discernible on this panel.,Paiute-Rocks_Panel-27.ply,PLY,Centimeter,Paiute-Rocks_Panel-27_Preview-Image.jpg
12c57656-5b46-49d7-b9e8-1438919abff7,Paiute Rocks - Panel 31,This large, complex solid pecked panel faces south and exhibits superimpositioning. It is affected by exposure, lichen growth and surface spalling. Motifs include: concentric circles; open circles, arcs; lines; a tailed open circle; a grid; wavy lines; complex curvilinear meanders; and an indistinct bighorn sheep figure.<br>Panel 31-1 This solid pecked panel faces southeast and is affected by exposure, lichen growth and surface spalling. There is a modern hearth below this panel. The only motif is a short, wide line.<br>Panel 31-2 This stipple pecked panel faces southeast and is affected by exposure and surface spalling. Its only motif is a bighorn sheep figure that has dots for feet.,Paiute-Rocks_Panel-31.ply,PLY,Centimeter,Paiute-Rocks_Panel-31_Preview-Image.jpg
